Titulo;Rua;Metros;Quartos;Banheiro;Garagem;Preço;Link;Id;Concatenados
Setor Marista, Goiânia;Rua 143-A;123 m²;3;3;2;R$ 2.025.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-setor-marista-goiania-123m2-id-2803894949/?source=ranking%2Crp;2803894949;Setor Marista, GoiâniaRua 143-A123 m²33R$ 2.025.000
Setor Marista, Goiânia;Rua 13;190 m²;4;6;3;R$ 2.335.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-190m2-id-2805760620/?source=ranking%2Crp;2805760620;Setor Marista, GoiâniaRua 13190 m²46R$ 2.335.000
Setor Marista, Goiânia;Rua T 53;308 m²;4;4;3;R$ 8.860.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-setor-marista-goiania-308m2-id-2701838075/?source=ranking%2Crp;2701838075;Setor Marista, GoiâniaRua T 53308 m²44R$ 8.860.000
Setor Marista, Goiânia;Rua 1141;38 m²;1;1;1;R$ 450.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-setor-marista-goiania-38m2-id-2800311183/?source=ranking%2Crp;2800311183;Setor Marista, GoiâniaRua 114138 m²11R$ 450.000
Setor Marista, Goiânia;;487 m²;4;6;4;R$ 2.590.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-487m2-id-2802301832/?source=ranking%2Crp;2802301832;Setor Marista, Goiânianan487 m²46R$ 2.590.000
Setor Marista, Goiânia;Rua 38;270 m²;4;5;4;R$ 3.700.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-270m2-id-2741644859/?source=ranking%2Crp;2741644859;Setor Marista, GoiâniaRua 38270 m²45R$ 3.700.000
Setor Marista, Goiânia;Rua 1141;255 m²;4;5;4;R$ 2.050.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-255m2-id-2795007017/?source=ranking%2Crp;2795007017;Setor Marista, GoiâniaRua 1141255 m²45R$ 2.050.000
Setor Marista, Goiânia;Rua 135;216 m²;4;6;2;R$ 2.100.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-216m2-id-2754258822/?source=ranking%2Crp;2754258822;Setor Marista, GoiâniaRua 135216 m²46R$ 2.100.000
Setor Marista, Goiânia;Rua 148;404 m²;4;6;4;R$ 4.453.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-404m2-id-2569923450/?source=ranking%2Crp;2569923450;Setor Marista, GoiâniaRua 148404 m²46R$ 4.453.000
Setor Marista, Goiânia;Rua 148;207 m²;3;6;3;R$ 2.100.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-setor-marista-goiania-207m2-id-2764857967/?source=ranking%2Crp;2764857967;Setor Marista, GoiâniaRua 148207 m²36R$ 2.100.000
Setor Marista, Goiânia;Rua 1141;436 m²;4;5;4;R$ 3.390.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-436m2-id-2806788542/?source=ranking%2Crp;2806788542;Setor Marista, GoiâniaRua 1141436 m²45R$ 3.390.000
Setor Marista, Goiânia;;560 m²;6;9;5;R$ 5.029.041;https://www.zapimoveis.com.br/imovel/venda-apartamento-6-quartos-com-piscina-setor-marista-goiania-560m2-id-2703268674/?source=ranking%2Crp;2703268674;Setor Marista, Goiânianan560 m²69R$ 5.029.041
Setor Marista, Goiânia;Alameda Coronel Eugênio Jardim;267 m²;4;6;4;R$ 3.965.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-267m2-id-2805760915/?source=ranking%2Crp;2805760915;Setor Marista, GoiâniaAlameda Coronel Eugênio Jardim267 m²46R$ 3.965.000
Setor Marista, Goiânia;Rua 28;561 m²;4;7;5;R$ 4.999.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-561m2-id-2595473522/?source=ranking%2Crp;2595473522;Setor Marista, GoiâniaRua 28561 m²47R$ 4.999.000
Setor Marista, Goiânia;;110 m²;3;4;2;R$ 1.254.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-110m2-id-2807135428/?source=ranking%2Crp;2807135428;Setor Marista, Goiânianan110 m²34R$ 1.254.000
Setor Marista, Goiânia;Rua 146;73 m²;2;3;1;R$ 980.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-setor-marista-goiania-73m2-id-2806419531/?source=ranking%2Crp;2806419531;Setor Marista, GoiâniaRua 14673 m²23R$ 980.000
Setor Marista, Goiânia;Rua 1122;229 m²;4;5;3;R$ 2.905.382;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-229m2-id-2805876333/?source=ranking%2Crp;2805876333;Setor Marista, GoiâniaRua 1122229 m²45R$ 2.905.382
Setor Marista, Goiânia;Rua 30;205 m²;3;4;3;R$ 3.229.753;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-setor-marista-goiania-205m2-id-2801786189/?source=ranking%2Crp;2801786189;Setor Marista, GoiâniaRua 30205 m²34R$ 3.229.753
Setor Marista, Goiânia;Rua 148;484 m²;3;6;5;R$ 14.000.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-setor-marista-goiania-484m2-id-2733738705/?source=ranking%2Crp;2733738705;Setor Marista, GoiâniaRua 148484 m²36R$ 14.000.000
Setor Marista, Goiânia;Rua 1141;194 m²;3;4;3;R$ 2.295.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-setor-marista-goiania-194m2-id-2806403220/?source=ranking%2Crp;2806403220;Setor Marista, GoiâniaRua 1141194 m²34R$ 2.295.000
Setor Marista, Goiânia;Rua 24;163 m²;3;5;2;R$ 1.800.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-163m2-id-2800557913/?source=ranking%2Crp;2800557913;Setor Marista, GoiâniaRua 24163 m²35R$ 1.800.000
Setor Marista, Goiânia;;76 m²;1;2;0;R$ 995.020;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-setor-marista-goiania-76m2-id-2807137017/?source=ranking%2Crp;2807137017;Setor Marista, Goiânianan76 m²12R$ 995.020
Setor Marista, Goiânia;Rua 13;203 m²;4;4;3;R$ 2.338.175;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-203m2-id-2804198226/?source=ranking%2Crp;2804198226;Setor Marista, GoiâniaRua 13203 m²44R$ 2.338.175
Setor Marista, Goiânia;Rua 1141;111 m²;2;4;2;R$ 1.090.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-setor-marista-goiania-111m2-id-2764856997/?source=ranking%2Crp;2764856997;Setor Marista, GoiâniaRua 1141111 m²24R$ 1.090.000
Setor Marista, Goiânia;Rua 26;209 m²;3;5;3;R$ 2.548.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-setor-marista-goiania-209m2-id-2788991262/?source=ranking%2Crp;2788991262;Setor Marista, GoiâniaRua 26209 m²35R$ 2.548.000
Setor Marista, Goiânia;Alameda Ricardo Paranhos;265 m²;3;6;4;R$ 3.250.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-setor-marista-goiania-265m2-id-2806586914/?source=ranking%2Crp;2806586914;Setor Marista, GoiâniaAlameda Ricardo Paranhos265 m²36R$ 3.250.000
Setor Marista, Goiânia;Rua 36;327 m²;4;5;4;R$ 4.300.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-setor-marista-goiania-327m2-id-2806586716/?source=ranking%2Crp;2806586716;Setor Marista, GoiâniaRua 36327 m²45R$ 4.300.000
Setor Marista, Goiânia;Rua 148;404 m²;5;5;6;R$ 4.800.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-5-quartos-com-piscina-setor-marista-goiania-404m2-id-2732709818/?source=ranking%2Crp;2732709818;Setor Marista, GoiâniaRua 148404 m²55R$ 4.800.000
Setor Marista, Goiânia;Rua 1141;221 m²;4;4;3;R$ 2.300.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-setor-marista-goiania-221m2-id-2806532417/?source=ranking%2Crp;2806532417;Setor Marista, GoiâniaRua 1141221 m²44R$ 2.300.000
Setor Marista, Goiânia;Rua 36;240 m²;4;6;3;R$ 3.110.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-240m2-id-2805761413/?source=ranking%2Crp;2805761413;Setor Marista, GoiâniaRua 36240 m²46R$ 3.110.000
Setor Marista, Goiânia;Avenida D;106 m²;3;3;2;R$ 1.750.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-setor-marista-goiania-106m2-id-2782633836/?source=ranking%2Crp;2782633836;Setor Marista, GoiâniaAvenida D106 m²33R$ 1.750.000
Setor Marista, Goiânia;Rua 34;404 m²;4;6;4;R$ 3.400.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-404m2-id-2806402026/?source=ranking%2Crp;2806402026;Setor Marista, GoiâniaRua 34404 m²46R$ 3.400.000
Setor Marista, Goiânia;Rua 1122;320 m²;3;6;4;R$ 4.388.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-320m2-id-2805760917/?source=ranking%2Crp;2805760917;Setor Marista, GoiâniaRua 1122320 m²36R$ 4.388.000
Setor Marista, Goiânia;;411 m²;4;6;4;R$ 7.020.207;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-setor-marista-goiania-411m2-id-2784175900/?source=ranking%2Crp;2784175900;Setor Marista, Goiânianan411 m²46R$ 7.020.207
Setor Marista, Goiânia;;87 m²;3;3;0;R$ 868.527;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-87m2-id-2807135754/?source=ranking%2Crp;2807135754;Setor Marista, Goiânianan87 m²33R$ 868.527
Setor Marista, Goiânia;Rua 1128;150 m²;3;4;2;R$ 2.350.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-setor-marista-goiania-150m2-id-2806585829/?source=ranking%2Crp;2806585829;Setor Marista, GoiâniaRua 1128150 m²34R$ 2.350.000
Setor Marista, Goiânia;Rua 1141;221 m²;4;4;3;R$ 2.550.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-churrasqueira-setor-marista-goiania-221m2-id-2806136717/?source=ranking%2Crp;2806136717;Setor Marista, GoiâniaRua 1141221 m²44R$ 2.550.000
